2025-12-08,1,120.00
2025-11-12,7,2362.00
2025-11-11,4,1249.50
2025-11-10,3,48.80
2025-11-09,4,1060.00
2025-11-08,3,1575.00
2025-11-07,1,150.00
2025-11-06,2,135.00
2025-11-05,4,284.90
2025-11-04,1,16.50
2025-11-03,2,520.00
2025-11-02,2,1750.00
2025-11-01,3,760.00
2025-10-31,1,120.00
2025-10-30,2,85.00
2025-10-29,1,350.00
2025-10-28,2,185.00
2025-10-27,1,440.00
2025-10-26,1,15.00
2025-10-25,2,102.00
2025-10-23,1,950.00
2025-10-22,2,950.00
2025-10-20,3,1243.50
2025-10-19,2,660.00
2025-10-18,1,950.00
2025-10-17,2,380.00
2025-10-15,2,107.00
2025-10-14,2,120.00
2025-10-13,2,44.70
2025-10-12,3,298.50
2025-10-10,2,465.00
2025-10-09,1,150.00
2025-10-08,1,950.00
2025-10-07,1,180.00
2025-10-06,1,320.00
2025-10-05,2,380.00
2025-10-03,2,115.00
2025-10-01,2,150.00
2025-09-28,1,440.00
2025-09-25,1,950.00
2025-09-20,2,92.00
2025-09-15,2,36.00
